ImageIndex,Shots,Weighted MAE
0,20,0.6843137145042419
1,20,0.610105574131012
2,20,0.7905228585004807
3,20,0.6856711804866791
4,20,0.470431387424469
5,20,0.6016147434711456
6,20,0.6823529601097107
7,20,0.7007223665714264
8,20,0.6333333253860474
9,20,0.5275662839412689
10,20,0.601782500743866
11,20,0.7058823108673096
12,20,0.756426990032196
13,20,0.4721568822860718
14,20,0.6106951832771301
15,20,0.6145658195018768
16,20,0.592497855424881
17,20,0.6625490188598633
18,20,0.7693404704332352
19,20,0.49855077266693115
0,40,0.7647058814764023
1,40,0.7193061709403992
2,40,0.8594771176576614
3,40,0.7969834059476852
4,40,0.6509803831577301
5,40,0.7395617067813873
6,40,0.8306595236063004
7,40,0.8988648056983948
8,40,0.7360293865203857
9,40,0.7483275830745697
10,40,0.7582887709140778
11,40,0.8417531698942184
12,40,0.7111111283302307
13,40,0.6001960635185242
14,40,0.7971479445695877
15,40,0.7697478979825974
16,40,0.7029837965965271
17,40,0.8747058808803558
18,40,0.7693404704332352
19,40,0.6760443150997162
0,60,0.9009803906083107
1,60,0.7749622911214828
2,60,0.8921568617224693
3,60,0.8398189842700958
4,60,0.6803137063980103
5,60,0.8200691938400269
6,60,0.8602495491504669
7,60,0.8491228073835373
8,60,0.8517156839370728
9,60,0.6733563840389252
10,60,0.8680926859378815
11,60,0.8645905256271362
12,60,0.8265795111656189
13,60,0.7631372511386871
14,60,0.8468805700540543
15,60,0.7372548878192902
16,60,0.7662403881549835
17,60,0.8552941083908081
18,60,0.7365418672561646
19,60,0.7452685236930847
0,80,0.9990196077851579
1,80,0.8273001462221146
2,80,0.9709150325506926
3,80,0.9239818975329399
4,80,0.7618823647499084
5,80,0.8339100331068039
6,80,0.8085561394691467
7,80,0.9188854470849037
8,80,0.7696078419685364
9,80,0.7944636642932892
10,80,0.8269162178039551
11,80,0.937254898250103
12,80,0.8601307272911072
13,80,0.757254883646965
14,80,0.8636363595724106
15,80,0.8408963531255722
16,80,0.8542199581861496
17,80,0.9009803906083107
18,80,0.9062388613820076
19,80,0.8242114335298538
0,100,0.8980392143130302
1,100,0.7877828031778336
2,100,0.8781045749783516
3,100,0.9420814476907253
4,100,0.9010196104645729
5,100,0.9169550091028214
6,100,0.7130124866962433
7,100,0.9242518022656441
8,100,0.9764705877751112
9,100,0.8396770507097244
10,100,0.8714794963598251
11,100,0.8807381764054298
12,100,0.8840958550572395
13,100,0.7619607895612717
14,100,0.9363636374473572
15,100,0.8436974734067917
16,100,0.8549019545316696
17,100,0.9529411755502224
18,100,0.9155080243945122
19,100,0.9570332467556
0,120,0.965686272829771
1,120,0.9671191535890102
2,120,1.0
3,120,0.9221719428896904
4,120,0.9171764627099037
5,120,0.8717416375875473
6,120,0.9187165722250938
7,120,0.9638802893459797
8,120,0.9696078430861235
9,120,0.8908881172537804
10,120,1.0
11,120,0.956632062792778
12,120,0.8910675346851349
13,120,1.0
14,120,0.9552584625780582
15,120,1.0
16,120,0.8876385241746902
17,120,0.9096078425645828
18,120,0.9971479498781264
19,120,0.9670929238200188
0,140,0.8088235259056091
1,140,0.9294117614626884
2,140,0.954901959747076
3,140,0.9984917043475434
4,140,0.8552156835794449
5,140,0.9483275674283504
6,140,0.9511586427688599
7,140,1.0
8,140,0.9634803906083107
9,140,0.9517877735197544
10,140,0.9351158663630486
11,140,0.9432525932788849
12,140,0.9398692771792412
13,140,0.9978431372437626
14,140,0.9992869874695316
15,140,0.9960784311406314
16,140,0.9488491043448448
17,140,0.9498039186000824
18,140,0.863101601600647
19,140,0.8803069069981575
0,160,0.9111111089587212
1,160,0.9903469076380134
2,160,0.9983660130528733
3,160,0.9414781294763088
4,160,0.9025882333517075
5,160,0.917877733707428
6,160,0.9276292324066162
7,160,0.9983488131547347
8,160,0.9475490152835846
9,160,1.0
10,160,0.9873440274968743
11,160,0.9427912347018719
12,160,0.857516348361969
13,160,0.895294114947319
14,160,0.9540106914937496
15,160,0.8773109242320061
16,160,0.9150895103812218
17,160,0.9972549020312726
18,160,0.9276292324066162
19,160,0.9144074991345406
0,180,1.0
1,180,0.9203619882464409
2,180,1.0
3,180,0.9384615384042263
4,180,1.0
5,180,0.9513264112174511
6,180,0.9918003566563129
7,180,0.995872032828629
8,180,1.0
9,180,1.0
10,180,0.960784312337637
11,180,0.9923875429667532
12,180,1.0
13,180,1.0
14,180,0.9573975056409836
15,180,0.9204481765627861
16,180,0.9735720362514257
17,180,1.0
18,180,0.9411764703691006
19,180,0.9633418582379818
0,200,0.8859477117657661
1,200,0.9265460073947906
2,200,1.0
3,200,0.9981900452403352
4,200,1.0
5,200,0.9972318338695914
6,200,0.9115864560008049
7,200,1.0
8,200,0.950735293328762
9,200,1.0
10,200,0.9921568622812629
11,200,0.9963091115932912
12,200,0.997821350581944
13,200,0.9531372562050819
14,200,0.9720142595469952
15,200,1.0
16,200,1.0
17,200,1.0
18,200,1.0
19,200,0.9236146658658981
0,200,1.0
1,200,0.9361990988254547
2,200,0.9173202589154243
3,200,1.0
4,200,0.9664313718676567
5,200,0.9513264112174511
6,200,0.9946524063125253
7,200,1.0
8,200,0.9387254901230335
9,200,0.9197231829166412
10,200,0.9873440274968743
11,200,1.0
12,200,1.0
13,200,1.0
14,200,0.9618538320064545
15,200,1.0
16,200,0.9820971861481667
17,200,0.9925490194000304
18,200,1.0
19,200,0.9551577158272266
0,400,1.0
1,400,1.0
2,400,0.954901959747076
3,400,1.0
4,400,1.0
5,400,1.0
6,400,1.0
7,400,0.9638802893459797
8,400,1.0
9,400,1.0
10,400,1.0
11,400,1.0
12,400,1.0
13,400,1.0
14,400,1.0
15,400,1.0
16,400,1.0
17,400,1.0
18,400,1.0
19,400,0.9626598469913006
0,600,1.0
1,600,1.0
2,600,1.0
3,600,1.0
4,600,1.0
5,600,1.0
6,600,1.0
7,600,1.0
8,600,1.0
9,600,1.0
10,600,1.0
11,600,1.0
12,600,1.0
13,600,1.0
14,600,1.0
15,600,1.0
16,600,1.0
17,600,1.0
18,600,1.0
19,600,1.0
0,800,1.0
1,800,1.0
2,800,1.0
3,800,1.0
4,800,1.0
5,800,1.0
6,800,1.0
7,800,1.0
8,800,1.0
9,800,1.0
10,800,1.0
11,800,1.0
12,800,1.0
13,800,1.0
14,800,1.0
15,800,1.0
16,800,1.0
17,800,1.0
18,800,1.0
19,800,1.0
0,1000,1.0
1,1000,1.0
2,1000,1.0
3,1000,1.0
4,1000,1.0
5,1000,1.0
6,1000,1.0
7,1000,1.0
8,1000,1.0
9,1000,1.0
10,1000,1.0
11,1000,1.0
12,1000,1.0
13,1000,1.0
14,1000,1.0
15,1000,1.0
16,1000,1.0
17,1000,1.0
18,1000,1.0
19,1000,1.0
0,1200,1.0
1,1200,1.0
2,1200,1.0
3,1200,1.0
4,1200,1.0
5,1200,1.0
6,1200,1.0
7,1200,1.0
8,1200,1.0
9,1200,1.0
10,1200,1.0
11,1200,1.0
12,1200,1.0
13,1200,1.0
14,1200,1.0
15,1200,1.0
16,1200,1.0
17,1200,1.0
18,1200,1.0
19,1200,1.0
0,1400,1.0
1,1400,1.0
2,1400,1.0
3,1400,1.0
4,1400,1.0
5,1400,1.0
6,1400,1.0
7,1400,1.0
8,1400,1.0
9,1400,1.0
10,1400,1.0
11,1400,1.0
12,1400,1.0
13,1400,1.0
14,1400,1.0
15,1400,1.0
16,1400,1.0
17,1400,1.0
18,1400,1.0
19,1400,1.0
0,1600,1.0
1,1600,1.0
2,1600,1.0
3,1600,1.0
4,1600,1.0
5,1600,1.0
6,1600,1.0
7,1600,1.0
8,1600,1.0
9,1600,1.0
10,1600,1.0
11,1600,1.0
12,1600,1.0
13,1600,1.0
14,1600,1.0
15,1600,1.0
16,1600,1.0
17,1600,1.0
18,1600,1.0
19,1600,1.0
0,1800,1.0
1,1800,1.0
2,1800,1.0
3,1800,1.0
4,1800,1.0
5,1800,1.0
6,1800,1.0
7,1800,1.0
8,1800,1.0
9,1800,1.0
10,1800,1.0
11,1800,1.0
12,1800,1.0
13,1800,1.0
14,1800,1.0
15,1800,1.0
16,1800,1.0
17,1800,1.0
18,1800,1.0
19,1800,1.0
0,2000,1.0
1,2000,1.0
2,2000,1.0
3,2000,1.0
4,2000,1.0
5,2000,1.0
6,2000,1.0
7,2000,1.0
8,2000,1.0
9,2000,1.0
10,2000,1.0
11,2000,1.0
12,2000,1.0
13,2000,1.0
14,2000,1.0
15,2000,1.0
16,2000,1.0
17,2000,1.0
18,2000,1.0
19,2000,1.0
0,2200,1.0
1,2200,1.0
2,2200,1.0
3,2200,1.0
4,2200,1.0
5,2200,1.0
6,2200,1.0
7,2200,1.0
8,2200,1.0
9,2200,1.0
10,2200,1.0
11,2200,1.0
12,2200,1.0
13,2200,1.0
14,2200,1.0
15,2200,1.0
16,2200,1.0
17,2200,1.0
18,2200,1.0
19,2200,1.0
0,2400,1.0
1,2400,1.0
2,2400,1.0
3,2400,1.0
4,2400,1.0
5,2400,1.0
6,2400,1.0
7,2400,1.0
8,2400,1.0
9,2400,1.0
10,2400,1.0
11,2400,1.0
12,2400,1.0
13,2400,1.0
14,2400,1.0
15,2400,1.0
16,2400,1.0
17,2400,1.0
18,2400,1.0
19,2400,1.0
0,2600,1.0
1,2600,1.0
2,2600,1.0
3,2600,1.0
4,2600,1.0
5,2600,1.0
6,2600,1.0
7,2600,1.0
8,2600,1.0
9,2600,1.0
10,2600,1.0
11,2600,1.0
12,2600,1.0
13,2600,1.0
14,2600,1.0
15,2600,1.0
16,2600,1.0
17,2600,1.0
18,2600,1.0
19,2600,1.0
0,2800,1.0
1,2800,1.0
2,2800,1.0
3,2800,1.0
4,2800,1.0
5,2800,1.0
6,2800,1.0
7,2800,1.0
8,2800,1.0
9,2800,1.0
10,2800,1.0
11,2800,1.0
12,2800,1.0
13,2800,1.0
14,2800,1.0
15,2800,1.0
16,2800,1.0
17,2800,1.0
18,2800,1.0
19,2800,1.0
0,3000,1.0
1,3000,1.0
2,3000,1.0
3,3000,1.0
4,3000,1.0
5,3000,1.0
6,3000,1.0
7,3000,1.0
8,3000,1.0
9,3000,1.0
10,3000,1.0
11,3000,1.0
12,3000,1.0
13,3000,1.0
14,3000,1.0
15,3000,1.0
16,3000,1.0
17,3000,1.0
18,3000,1.0
19,3000,1.0
